timestamp,step,payload_hex,payload_int,raw_position,unwrapped_position,direction,elapsed_step_s,instant_cps,steady
193243.4380515,5,003978,14712,29399,29399,+,0.31606760001159273,36.15623107501377,False
193243.6143698,5,003978,14712,29402,29402,+,0.4923858999973163,17.014683105740634,False
193243.7902767,5,003978,14712,29403,29403,+,0.668292799993651,5.684825325333097,True
193243.9657752,5,003978,14712,29403,29403,+,0.8437912999943364,0.0,True
193244.1416776,5,003978,14712,29404,29404,+,1.0196937000146136,5.684970755855094,True
193244.3177039,5,003978,14712,29409,29409,+,1.1957199999887962,28.40484632542602,True
193244.4935015,5,003978,14712,29419,29419,+,1.3715175999968778,56.88359795321601,True
193244.6694298,5,003978,14712,29422,29422,+,1.5474459000106435,17.05240145994284,True
193244.8453361,5,003978,14712,29431,29431,+,1.7233522000024095,51.16360244301245,True
193245.0213762,5,003978,14712,29449,29449,+,1.8993922999943607,102.24943067416453,True
193245.1976478,5,003978,14712,29457,29457,+,2.075663900002837,45.38450890339281,True
193245.373085,5,003978,14712,29471,29471,+,2.2511011000024155,79.80063521324811,True
193245.549334,5,003978,14712,29492,29492,+,2.4273501000134274,119.14961218893684,True
193245.7248683,5,003978,14712,29523,29523,+,2.6028843999956734,176.60366095478446,True
193245.9007699,5,003978,14712,29573,29573,+,2.778786000009859,284.2498305641777,True
193246.0770222,5,003978,14712,29609,29609,+,2.955038300016895,204.25265371608137,True
193246.2729225,6,002000,8192,29637,29637,+,0.15005070000188425,,False
193246.4444685,6,002000,8192,29637,29637,+,0.32159669999964535,0.0,False
193246.6203892,6,002000,8192,29638,29638,+,0.4975173999846447,5.684379382785933,False
193246.7967203,6,002000,8192,29641,29641,+,0.6738484999805223,17.01344799680905,True
193246.9721913,6,002000,8192,29641,29641,+,0.8493195000046398,0.0,True
193247.1485034,6,002000,8192,29642,29642,+,1.0256316000013612,5.6717604748545085,True
193247.3240393,6,002000,8192,29643,29643,+,1.2011674999957904,5.696840361611135,True
193247.4999297,6,002000,8192,29643,29643,+,1.3770578999829013,0.0,True
193247.6759224,6,002000,8192,29643,29643,+,1.5530505999922752,0.0,True
193247.8517384,6,002000,8192,29645,29645,+,1.7288665999949444,11.375528961924038,True
193248.0278331,6,002000,8192,29647,29647,+,1.9049612999951933,11.357525240664106,True
193248.2035782,6,002000,8192,29649,29649,+,2.080706399981864,11.38011813786951,True
193248.3795085,6,002000,8192,29650,29650,+,2.2566366999817546,5.684069202409252,True
193248.5557761,6,002000,8192,29654,29654,+,2.432904299988877,22.69276940196822,True
193248.7312999,6,002000,8192,29666,29666,+,2.608428100007586,68.36679697409078,True
193248.9072387,6,002000,8192,29673,29673,+,2.7843668999848887,39.78656215060608,True
193249.0832701,6,002000,8192,29678,29678,+,2.9603982999979053,28.404023371002435,True
193249.2734131,7,001000,4096,29681,29681,+,0.15010559998336248,,False
193249.4352537,7,001000,4096,29681,29681,+,0.311946200003149,0.0,False
193249.610889,7,001000,4096,29681,29681,+,0.48758149999775924,0.0,False
193249.7871469,7,001000,4096,29681,29681,+,0.6638393999892287,0.0,True
193249.9627401,7,001000,4096,29683,29683,+,0.8394325999834109,11.389962709639464,True
193250.1386576,7,001000,4096,29683,29683,+,1.0153501000022516,0.0,True
193250.3145449,7,001000,4096,29683,29683,+,1.1912373999948613,0.0,True
193250.4904337,7,001000,4096,29684,29684,+,1.3671261999988928,5.685410327303837,True
193250.6663774,7,001000,4096,29684,29684,+,1.5430698999844026,0.0,True
193250.8426082,7,001000,4096,29685,29685,+,1.71930070000235,5.674377009570177,True
193251.0181269,7,001000,4096,29687,29687,+,1.8948193999822251,11.394797250830354,True
193251.1940663,7,001000,4096,29689,29689,+,2.0707587999932002,11.367550417218885,True
193251.3699697,7,001000,4096,29689,29689,+,2.246662199991988,0.0,True
193251.5461727,7,001000,4096,29690,29690,+,2.4228652000019792,5.675272270865405,True
193251.7217489,7,001000,4096,29690,29690,+,2.5984413999831304,0.0,True
193251.8976876,7,001000,4096,29690,29690,+,2.7743800999887753,0.0,True
193252.0739616,7,001000,4096,29691,29691,+,2.950654099986423,5.672986373562441,True
193252.2738219,8,000800,2048,29691,29691,+,0.15007199998944998,,False
193252.4414051,8,000800,2048,29691,29691,+,0.31765519999316894,0.0,False
193252.6173611,8,000800,2048,29691,29691,+,0.4936112000141293,0.0,False
193252.7933886,8,000800,2048,29691,29691,+,0.6696386999974493,0.0,True
193252.9691321,8,000800,2048,29691,29691,+,0.8453822000010405,0.0,True
193253.1451108,8,000800,2048,29691,29691,+,1.021360899991123,0.0,True
