axis,changed_bit_positions_lsb0,elapsed_ms,hamming_distance,monotonic_s,raw_position,reply_kind,rx_bytes_hex,sample_index,timestamp,tx_bytes_hex,valid_position,xor_to_modal_hex
alt,,11.943299963604659,0,283600.563597,1059285,valid,1029D5,135,1790097583.580388,15,True,000000
alt,,11.937999981455505,0,283600.5955696,1059285,valid,1029D5,136,1790097583.6123607,15,True,000000
alt,,11.978499998804182,0,283600.627576,1059285,valid,1029D5,137,1790097583.6443672,15,True,000000
alt,,11.959200026467443,0,283600.6595765,1059285,valid,1029D5,138,1790097583.6763675,15,True,000000
alt,,11.728600016795099,0,283600.6915691,1059285,valid,1029D5,139,1790097583.7083602,15,True,000000
alt,,11.979700007941574,0,283600.7235756,1059285,valid,1029D5,140,1790097583.740367,15,True,000000
alt,,11.966699967160821,0,283600.7555693,1059285,valid,1029D5,141,1790097583.7723608,15,True,000000
alt,,11.662199976854026,0,283600.7875684,1059285,valid,1029D5,142,1790097583.8043597,15,True,000000
alt,,11.735299951396883,0,283600.8195682,1059285,valid,1029D5,143,1790097583.8363595,15,True,000000
alt,,11.96239999262616,0,283600.8515741,1059285,valid,1029D5,144,1790097583.8683653,15,True,000000
alt,,11.721500020939857,0,283600.883564,1059285,valid,1029D5,145,1790097583.900355,15,True,000000
alt,,11.880200006999075,0,283600.9155708,1059285,valid,1029D5,146,1790097583.9323623,15,True,000000
alt,,11.961399985011667,0,283600.9475641,1059285,valid,1029D5,147,1790097583.9643552,15,True,000000
alt,,11.83820003643632,0,283600.9795604,1059285,valid,1029D5,148,1790097583.9963515,15,True,000000
alt,,11.513799952808768,0,283601.0115704,1059285,valid,1029D5,149,1790097584.0283642,15,True,000000
alt,,11.188299977220595,0,283601.0429821,1059285,valid,1029D5,150,1790097584.0597732,15,True,000000
alt,,11.973199958447367,0,283601.0749802,1059285,valid,1029D5,151,1790097584.0917714,15,True,000000
alt,,11.966400023084134,0,283601.1069744,1059285,valid,1029D5,152,1790097584.1237655,15,True,000000
alt,,11.630200024228543,0,283601.1389699,1059285,valid,1029D5,153,1790097584.155761,15,True,000000
alt,,11.975299974437803,0,283601.1709733,1059285,valid,1029D5,154,1790097584.1877644,15,True,000000
alt,,11.700499977450818,0,283601.2029793,1059285,valid,1029D5,155,1790097584.2197707,15,True,000000
alt,,11.948400002438575,0,283601.234972,1059285,valid,1029D5,156,1790097584.251763,15,True,000000
alt,,11.951099964790046,0,283601.2669669,1059285,valid,1029D5,157,1790097584.2837582,15,True,000000
alt,,11.521600012201816,0,283601.2989768,1059285,valid,1029D5,158,1790097584.3157682,15,True,000000
alt,,11.555399978533387,0,283601.3309687,1059285,valid,1029D5,159,1790097584.3477602,15,True,000000
alt,,11.964200006332248,0,283601.3629673,1059285,valid,1029D5,160,1790097584.3797584,15,True,000000
alt,,11.957100010477006,0,283601.394969,1059285,valid,1029D5,161,1790097584.41176,15,True,000000
alt,,11.513100005686283,0,283601.4269695,1059285,valid,1029D5,162,1790097584.4437606,15,True,000000
alt,,11.479899985715747,0,283601.4589702,1059285,valid,1029D5,163,1790097584.4757614,15,True,000000
alt,,11.50620001135394,0,283601.4909623,1059285,valid,1029D5,164,1790097584.5077534,15,True,000000
alt,,11.94449997274205,0,283601.5229637,1059285,valid,1029D5,165,1790097584.5397549,15,True,000000
alt,,11.818500002846122,0,283601.5549718,1059285,valid,1029D5,166,1790097584.571763,15,True,000000
alt,,11.520500003825873,0,283601.5869691,1059285,valid,1029D5,167,1790097584.6037605,15,True,000000
alt,,11.960599978920072,0,283601.6189576,1059285,valid,1029D5,168,1790097584.6357486,15,True,000000
alt,,11.961199983488768,0,283601.6509591,1059285,valid,1029D5,169,1790097584.6677501,15,True,000000
alt,,11.970599996857345,0,283601.6829566,1059285,valid,1029D5,170,1790097584.6997476,15,True,000000
alt,,11.964200006332248,0,283601.7149522,1059285,valid,1029D5,171,1790097584.7317436,15,True,000000
alt,,11.970799998380244,0,283601.746954,1059285,valid,1029D5,172,1790097584.763745,15,True,000000
alt,,11.57140004215762,0,283601.7789595,1059285,valid,1029D5,173,1790097584.7957535,15,True,000000
alt,,11.787299998104572,0,283601.810962,1059285,valid,1029D5,174,1790097584.8277533,15,True,000000
alt,,11.960599978920072,0,283601.8429552,1059285,valid,1029D5,175,1790097584.8597462,15,True,000000
alt,,11.951700027566403,0,283601.8749483,1059285,valid,1029D5,176,1790097584.8917394,15,True,000000
alt,,11.866699962411076,0,283601.9069504,1059285,valid,1029D5,177,1790097584.9237416,15,True,000000
alt,,11.941099946852773,0,283601.9389564,1059285,valid,1029D5,178,1790097584.9557476,15,True,000000
alt,,11.949000007007271,0,283601.9709524,1059285,valid,1029D5,179,1790097584.9877434,15,True,000000
alt,,11.792199977207929,0,283602.0029581,1059285,valid,1029D5,180,1790097585.0197492,15,True,000000
alt,,11.527499998919666,0,283602.0345297,1059285,valid,1029D5,181,1790097585.0513208,15,True,000000
alt,,11.960299976635724,0,283602.0665338,1059285,valid,1029D5,182,1790097585.083325,15,True,000000
alt,,11.93730003433302,0,283602.0985304,1059285,valid,1029D5,183,1790097585.1153216,15,True,000000
alt,,11.95520005421713,0,283602.1305304,1059285,valid,1029D5,184,1790097585.1473217,15,True,000000
alt,,11.516400030814111,0,283602.1625199,1059285,valid,1029D5,185,1790097585.179311,15,True,000000
alt,,11.509499978274107,0,283602.1945182,1059285,valid,1029D5,186,1790097585.2113092,15,True,000000
alt,,11.508300027344376,0,283602.2265202,1059285,valid,1029D5,187,1790097585.2433114,15,True,000000
alt,,11.506600014399737,0,283602.2585185,1059285,valid,1029D5,188,1790097585.2753096,15,True,000000
alt,,12.006200035102665,0,283602.2905563,1059285,valid,1029D5,189,1790097585.3073475,15,True,000000
alt,,11.932099994737655,0,283602.3225163,1059285,valid,1029D5,190,1790097585.3393073,15,True,000000
alt,,11.965300014708191,0,283602.3545212,1059285,valid,1029D5,191,1790097585.3713124,15,True,000000
alt,,11.954699992202222,0,283602.3865199,1059285,valid,1029D5,192,1790097585.403311,15,True,000000
alt,,11.946499987971038,0,283602.4185209,1059285,valid,1029D5,193,1790097585.435312,15,True,000000
alt,,11.969999992288649,0,283602.4505319,1059285,valid,1029D5,194,1790097585.467323,15,True,000000
alt,,11.942399956751615,0,283602.4825219,1059285,valid,1029D5,195,1790097585.499313,15,True,000000
alt,,11.973100015893579,0,283602.5145195,1059285,valid,1029D5,196,1790097585.5313106,15,True,000000
alt,,11.970599996857345,0,283602.5465189,1059285,valid,1029D5,197,1790097585.5633101,15,True,000000
alt,,11.432600033003837,0,283602.5785089,1059285,valid,1029D5,198,1790097585.5953002,15,True,000000
alt,,11.503899993840605,0,283602.6105075,1059285,valid,1029D5,199,1790097585.6272988,15,True,000000
alt,,11.506800015922636,0,283602.6425128,1059285,valid,1029D5,200,1790097585.659304,15,True,000000
