cumulative_progress,cycle,cycle_elapsed_s,delta_counts,direction,elapsed_s,instant_cps,invalid_reason,monotonic_s,payload_hex,phase,raw_position,rx_bytes_hex,unwrapped_position,valid
13273,1,8.593587399984244,409,+,9.440712699986761,2325.4980916071445,,212107.3529532,0072F1,MEDIUM,15948,003E4C,15948,True
13674,1,8.769487499987008,401,+,9.616612799989525,2279.703081429171,,212107.5288533,0072F1,MEDIUM,16349,003FDD,16349,True
14078,1,8.945448599988595,404,+,9.792573899991112,2295.9620052179557,,212107.7048144,0072F1,MEDIUM,16753,004171,16753,True
14482,1,9.121884499996668,404,+,9.969009799999185,2289.783428324476,,212107.8812503,0072F1,MEDIUM,17157,004305,17157,True
14886,1,9.297196200001054,404,+,10.14432150000357,2304.4668438552194,,212108.056562,0072F1,MEDIUM,17561,004499,17561,True
15278,1,9.473123299976578,392,+,10.320248599979095,2228.1956563516155,,212108.2324891,0072F1,MEDIUM,17953,004621,17953,True
15706,1,9.649013999995077,428,+,10.496139299997594,2433.3293343820096,,212108.4083798,0072F1,MEDIUM,18381,0047CD,18381,True
16195,1,9.82523059999221,489,+,10.672355899994727,2774.9939563466546,,212108.5845964,0072F1,MEDIUM,18870,0049B6,18870,True
16680,1,10.00082570000086,485,+,10.847951000003377,2762.0360703465476,,212108.7601915,0072F1,MEDIUM,19355,004B9B,19355,True
17162,1,10.177141899999697,482,+,11.024267200002214,2733.7249782106205,,212108.9365077,0072F1,MEDIUM,19837,004D7D,19837,True
79,2,0.15035740000894293,79,+,11.56789179999032,525.4126816857156,,212109.4801323,00E5E3,FAST,20202,004EEA,20202,True
251,2,0.32601300001260825,172,+,11.743547399993986,979.1888217421532,,212109.6557879,00E5E3,FAST,20374,004F96,20374,True
552,2,0.5019016000151169,301,+,11.919435999996495,1711.3104544336984,,212109.8316765,00E5E3,FAST,20675,0050C3,20675,True
921,2,0.6781520000076853,369,+,12.095686399989063,2093.612269904402,,212110.0079269,00E5E3,FAST,21044,005234,21044,True
1348,2,0.853697300015483,427,+,12.27123169999686,2432.4205773725216,,212110.1834722,00E5E3,FAST,21471,0053DF,21471,True
1820,2,1.0296156000113115,472,+,12.44714999999269,2683.0636722341715,,212110.3593905,00E5E3,FAST,21943,0055B7,21943,True
2305,2,1.2059655000048224,485,+,12.6234998999862,2750.214204929214,,212110.5357404,00E5E3,FAST,22428,00579C,22428,True
2786,2,1.3814060000004247,481,+,12.798940399981802,2741.6702529464806,,212110.7111809,00E5E3,FAST,22909,00597D,22909,True
3272,2,1.5573352000210434,486,+,12.974869600002421,2762.474904353804,,212110.8871101,00E5E3,FAST,23395,005B63,23395,True
3759,2,1.7332210000022314,487,+,13.150755399983609,2768.8420557662266,,212111.0629959,00E5E3,FAST,23882,005D4A,23882,True
4235,2,1.9094532000017352,476,+,13.326987599983113,2700.981999891849,,212111.2392281,00E5E3,FAST,24358,005F26,24358,True
4737,2,2.085109100007685,502,+,13.502643499989063,2857.8601685624944,,212111.414884,00E5E3,FAST,24860,00611C,24860,True
5076,2,2.2611497000034433,339,+,13.678684099984821,1925.6921415183092,,212111.5909246,0072F1,MEDIUM,25199,00626F,25199,True
5248,2,2.4368547000049148,172,+,13.854389099986292,978.9135198119549,,212111.7666296,0072F1,MEDIUM,25371,00631B,25371,True
5312,2,2.612713700014865,64,+,14.030248099996243,363.92791950584746,,212111.9424886,0072F1,MEDIUM,25435,00635B,25435,True
5356,2,2.788728400017135,44,+,14.206262799998512,249.97912105882403,,212112.1185033,0072F1,MEDIUM,25479,006387,25479,True
5377,2,2.9645903000200633,21,+,14.382124700001441,119.41187943295454,,212112.2943652,0072F1,MEDIUM,25500,00639C,25500,True
5408,2,3.140934199996991,31,+,14.558468599978369,175.79286838986735,,212112.4707091,0072F1,MEDIUM,25531,0063BB,25531,True
5454,2,3.3165709000022616,46,+,14.73410529998364,261.90426032042063,,212112.6463458,0072F1,MEDIUM,25577,0063E9,25577,True
5500,2,3.492639900010545,46,+,14.910174299991922,261.261210081479,,212112.8224148,0072F1,MEDIUM,25623,006417,25623,True
5542,2,3.668145400006324,42,+,15.085679799987702,239.30873961790408,,212112.9979203,0072F1,MEDIUM,25665,006441,25665,True
5616,2,3.8440631999983452,74,+,15.261597599979723,420.651008615139,,212113.1738381,0072F1,MEDIUM,25739,00648B,25739,True
5691,2,4.020000700023957,75,+,15.437535100005334,426.2877441652984,,212113.3497756,0072F1,MEDIUM,25814,0064D6,25814,True
5791,2,4.195889000024181,100,+,15.613423400005559,568.5426489418142,,212113.5256639,0072F1,MEDIUM,25914,00653A,25914,True
5924,2,4.371771000005538,133,+,15.789305399986915,756.1888084857904,,212113.7015459,0072F1,MEDIUM,26047,0065BF,26047,True
6056,2,4.547698700014735,132,+,15.965233099996112,750.3082231683778,,212113.8774736,0072F1,MEDIUM,26179,006643,26179,True
6165,2,4.7240488000097685,109,+,16.141583199991146,618.0886770297808,,212114.0538237,0072F1,MEDIUM,26288,0066B0,26288,True
6286,2,4.899636500020279,121,+,16.317170900001656,689.114328581998,,212114.2294114,0072F1,MEDIUM,26409,006729,26409,True
6441,2,5.075408600008814,155,+,16.49294299999019,881.8236796972334,,212114.4051835,0072F1,MEDIUM,26564,0067C4,26564,True
6649,2,5.251392100006342,208,+,16.66892649998772,1181.9289876773755,,212114.581167,0072F1,MEDIUM,26772,006894,26772,True
6881,2,5.4273976999975275,232,+,16.844932099978905,1318.1398774335512,,212114.7571726,0072F1,MEDIUM,27004,00697C,27004,True
7075,2,5.603089000011096,194,+,17.020623399992473,1104.20948552955,,212114.9328639,0072F1,MEDIUM,27198,006A3E,27198,True
7283,2,5.779019700014032,208,+,17.19655409999541,1182.2837060076954,,212115.1087946,0072F1,MEDIUM,27406,006B0E,27406,True
7511,2,5.955297000007704,228,+,17.37283139998908,1293.41667933526,,212115.2850719,0072F1,MEDIUM,27634,006BF2,27634,True
7770,2,6.131017500010785,259,+,17.548551899992162,1473.9316129618292,,212115.4607924,0072F1,MEDIUM,27893,006CF5,27893,True
7996,2,6.30675849999534,226,+,17.724292899976717,1285.9833506117643,,212115.6365334,0072F1,MEDIUM,28119,006DD7,28119,True
8271,2,6.482705300004454,275,+,17.900239699985832,1562.9724438623152,,212115.8124802,0072F1,MEDIUM,28394,006EEA,28394,True
